Spike_S1
ExoN
Spike_S2'
nsp8
Spike_S2
nsp9
M
3CL_PRO
ORF3a
ns6
Hel
ORF9b
Pol
ORF7a
ns8
nsp2
nsp3
NC
nsp1
nsp10
ORF10
ORF14
nsp4
nsp15
E
nsp7
nsp6
nsp16
